rel_eb,ASTZ_CR,ASTZ_PSNR,HPEZ_CR,HPEZ_PSNR,SZ3_CR,SZ3_PSNR,ZFP_CR,ZFP_PSNR,cuSZp_CR,cuSZp_PSNR
1.0e-01,3693.395,38.349,1237.813,33.010,,,5.670,41.910,115.936,41.497
6.0e-02,1278.408,40.871,438.976,35.934,,,4.720,48.090,95.281,41.827
3.0e-02,269.727,42.595,117.643,39.106,,,4.050,53.970,54.394,42.634
2.0e-02,111.626,43.717,60.678,41.042,,,4.050,53.970,32.190,43.593
1.0e-02,38.677,46.672,27.050,45.248,,,3.540,59.960,14.568,46.446
6.0e-03,22.965,50.043,18.140,49.297,,,3.150,66.120,10.679,49.702
3.0e-03,13.764,55.702,11.979,55.245,,,2.830,72.050,8.356,55.271
