rel_eb,ASTZ_CR,ASTZ_PSNR,HPEZ_CR,HPEZ_PSNR,SZ3_CR,SZ3_PSNR,ZFP_CR,ZFP_PSNR,cuSZp_CR,cuSZp_PSNR
5.0e-02,1714.274,45.848,238.043,45.013,,,9.482,57.457,18.675,47.659
2.0e-02,674.297,52.680,125.825,51.233,,,7.243,61.887,12.036,53.566
1.0e-02,361.451,57.483,74.406,55.748,,,5.659,66.519,8.869,58.188
5.0e-03,196.946,62.385,47.529,60.859,,,4.510,71.495,6.778,62.971
2.0e-03,71.077,68.098,27.734,67.351,,,3.682,76.756,4.986,69.400
1.0e-03,46.342,72.777,20.079,72.442,,,3.092,82.506,4.077,74.289
5.0e-04,28.010,77.218,14.998,77.421,,,,,,
