rel_eb,ASTZ_CR,ASTZ_PSNR,HPEZ_CR,HPEZ_PSNR,SZ3_CR,SZ3_PSNR,ZFP_CR,ZFP_PSNR,cuSZp_CR,cuSZp_PSNR
5.0e-02,1714.274,45.848,238.043,45.013,,,9.482,57.457,18.675,47.659
2.0e-02,674.297,52.680,125.825,51.233,,,7.243,61.887,12.036,53.566
1.0e-02,361.451,57.483,74.406,55.748,,,5.659,66.519,8.869,58.188
