rel_eb,ASTZ_CR,ASTZ_PSNR,HPEZ_CR,HPEZ_PSNR,SZ3_CR,SZ3_PSNR,ZFP_CR,ZFP_PSNR,cuSZp_CR,cuSZp_PSNR
5.0e-02,2490.555,46.702,266.313,45.178,,,9.516,57.465,18.754,47.692
2.0e-02,890.475,53.377,138.004,51.348,,,7.273,61.891,12.071,53.587
1.0e-02,443.209,58.242,83.221,55.879,,,5.680,66.519,8.881,58.208
5.0e-03,232.362,63.125,51.891,61.018,,,4.528,71.490,6.776,62.984
2.0e-03,106.643,69.192,29.247,67.462,,,3.696,76.747,4.972,69.410
1.0e-03,55.818,73.386,20.413,72.537,,,3.103,82.493,4.059,74.297
