rel_eb,ASTZ_CR,ASTZ_PSNR,HPEZ_CR,HPEZ_PSNR,SZ3_CR,SZ3_PSNR,ZFP_CR,ZFP_PSNR,cuSZp_CR,cuSZp_PSNR
5.0e-02,1360.829,33.423,641.358,32.927,,,7.656,44.631,57.232,28.255
2.0e-02,120.007,36.502,82.563,35.776,,,6.080,50.923,19.797,32.947
1.0e-02,37.233,39.845,31.942,39.460,,,5.104,56.942,13.243,38.496
5.0e-03,18.886,44.924,17.536,44.695,,,4.398,62.966,10.161,44.546
2.0e-03,10.960,52.889,10.463,52.481,,,3.728,70.142,7.591,52.644
1.0e-03,8.148,58.906,7.861,58.543,,,3.337,76.166,6.231,58.608
5.0e-04,6.494,64.925,6.289,64.639,,,3.020,82.186,5.252,64.570
2.0e-04,5.072,72.884,5.013,72.504,,,2.615,92.859,4.330,72.482
